======================================================================
TinyFold Training
======================================================================
Started: 2026-01-20 00:34:18
Script: C:\Users\costa\src\tinyfold\scripts\train.py
Command: python scripts/train.py --model af3_style --noise_type gaussian --n_steps 100000 --n_train 5000 --n_test 500 --eval_every 5000 --output_dir outputs/af3_15M_gaussian_5K --h_dim 128 --n_layers 6 --batch_size 32 --grad_accum 4 --lr 1e-3 --min_atoms 320 --max_atoms 1000

Configuration:
  output_dir:  outputs/af3_15M_gaussian_5K
  n_train:     5000
  n_test:      500
  batch_size:  32
  grad_accum:  4
  eff_batch:   128
  n_steps:     100000
  eval_every:  5000
  lr:          0.001
  model:       af3_style
  h_dim:       128
  n_layers:    6
  schedule:    linear
  noise_type:  gaussian
  noise_scale: 0.1
  T:           50

Device: cuda
  GPU: NVIDIA GeForce RTX 4070 Ti SUPER

Data split (seed=42):
  Eligible samples (320-1000 atoms): 5840
  Training: 5000 samples
  Test: 500 samples (held out, never seen during training)
  Train IDs: ['1r4p.pdb1_5', '2xf7.pdb1_5', '4hi2.pdb1_13']...
  Test IDs:  ['1dm0.pdb1_8', '2wg6.pdb2_2', '4qyb.pdb1_0']...

Preloading samples...
  Loaded 5000 train, 500 test samples
Model: af3_style
  Parameters: 14,898,179

Diffusion:
  Schedule: linear
  Noise type: gaussian

Training for 100000 steps...
======================================================================
Step 17900 | loss: 0.052955 | lr: 9.24e-04 | 11451s
Step 18000 | loss: 0.047982 | lr: 9.23e-04 | 11508s
Step 18100 | loss: 0.058776 | lr: 9.22e-04 | 11565s
Step 18200 | loss: 0.051083 | lr: 9.21e-04 | 11621s
Step 18300 | loss: 0.048161 | lr: 9.20e-04 | 11678s
Step 18400 | loss: 0.053934 | lr: 9.20e-04 | 11735s
Step 18500 | loss: 0.052556 | lr: 9.19e-04 | 11792s
Step 18600 | loss: 0.056682 | lr: 9.18e-04 | 11849s
Step 18700 | loss: 0.047023 | lr: 9.17e-04 | 11906s
Step 18800 | loss: 0.059121 | lr: 9.16e-04 | 11963s
Step 18900 | loss: 0.049693 | lr: 9.15e-04 | 12020s
Step 19000 | loss: 0.053757 | lr: 9.14e-04 | 12077s
Step 19100 | loss: 0.041282 | lr: 9.14e-04 | 12133s
Step 19200 | loss: 0.052985 | lr: 9.13e-04 | 12190s
Step 19300 | loss: 0.047619 | lr: 9.12e-04 | 12247s
Step 19400 | loss: 0.046885 | lr: 9.11e-04 | 12304s
Step 19500 | loss: 0.042532 | lr: 9.10e-04 | 12361s
Step 19600 | loss: 0.052958 | lr: 9.09e-04 | 12418s
Step 19700 | loss: 0.041519 | lr: 9.08e-04 | 12475s
Step 19800 | loss: 0.048354 | lr: 9.07e-04 | 12532s
Step 19900 | loss: 0.042788 | lr: 9.06e-04 | 12589s
Step 20000 | loss: 0.048806 | lr: 9.05e-04 | 12645s
         >>> Train RMSE (200): 9.2805 A | Test RMSE (500): 11.6504 A
         >>> Saved plot: outputs/af3_15M_gaussian_5K\plots\step_020000.png
         >>> New best test RMSE! Saved.
Step 20100 | loss: 0.044892 | lr: 9.05e-04 | 13103s
Step 20200 | loss: 0.041492 | lr: 9.04e-04 | 13160s
Step 20300 | loss: 0.037229 | lr: 9.03e-04 | 13217s
Step 20400 | loss: 0.037327 | lr: 9.02e-04 | 13274s
Step 20500 | loss: 0.048066 | lr: 9.01e-04 | 13331s
Step 20600 | loss: 0.038944 | lr: 9.00e-04 | 13388s
Step 20700 | loss: 0.039578 | lr: 8.99e-04 | 13444s
Step 20800 | loss: 0.034819 | lr: 8.98e-04 | 13501s
